CNT,MEDIAN_PVxMATH,MEDIAN_PVxREAD,MEDIAN_PVxSCIE,MEDIAN_PVxMCQN,MEDIAN_PVxMCSS,MEDIAN_PVxMPEM,MEDIAN_PVxMPFS,MEDIAN_PVxMPIN,MEDIAN_PVxMPRE,country
ALB,357.46680000000003,352.04439999999994,369.2227000000001,353.63140000000004,369.4751,356.0236,364.8792,351.5531,360.6787,Albania
ARE,425.3953,417.17775000000006,425.8886500000001,420.4784000000001,416.10085000000004,422.56665000000004,421.3264,428.1248,423.3636,United Arab Emirates
ARG,381.9268,409.0057000000001,411.6046,381.3596,373.7349,378.29730000000006,378.1504,386.6482,378.0951,Argentina
AUS,485.0674,503.7762,509.4496000000001,480.5996,480.45740000000006,484.09620000000007,480.1477,491.57700000000006,485.0165,Australia
AUT,490.83260000000007,489.4491,498.71400000000006,495.1587,492.0368,493.0057,488.9732,487.9085,498.0425,Austria
BEL,496.673,488.5238499999999,501.1503,495.5802500000001,494.06765000000007,497.00424999999996,492.46425,500.5682,498.04194999999993,Belgium
BGR,410.4895,399.4331,414.0165,412.3654,404.3907,413.8691,409.457,404.8226,406.37680000000006,Bulgaria
BRA,370.1969,409.38734999999997,398.0069,368.27125,364.63104999999996,367.9312,369.02785,372.19689999999997,367.90459999999996,Brazil
BRN,434.26435000000004,427.05870000000004,439.4087,429.67595000000006,436.1618500000001,435.90745,424.58344999999997,440.844,426.7577500000001,Brunei
CAN,482.8879,493.2461,502.58,480.1217,478.6579,479.4859,477.1848,488.2987,486.5348,Canada
CHE,507.0617,484.54800000000006,501.2505,509.9409,518.8523,505.6062,504.8566,504.6384,512.1560000000001,Switzerland
CHL,425.14930000000004,468.14430000000004,462.43465000000003,422.44275,415.04645000000005,423.80089999999996,419.84035,430.4355,421.42949999999996,Chile
COL,385.07280000000003,414.84000000000003,414.48215000000005,383.21630000000005,374.5149,381.83105,380.5238999999999,388.0994,376.61775,Colombia
CRI,379.9869,413.2775,406.0202,380.9996,371.957,379.2515,373.8276,383.81340000000006,375.4703,Costa Rica
CZE,500.97405000000003,505.05865,512.5379,503.8579,512.2029,503.42185,503.70754999999997,498.51415,500.514,Czech Republic
DEU,477.97210000000007,484.93175,496.73574999999994,478.58135,474.23654999999997,480.34450000000004,469.76135,478.21320000000003,476.46685,Germany
DNK,478.7805,481.61465,481.1496,473.94605,481.33680000000004,476.6014,473.3758,480.4751,484.14985000000013,Denmark
DOM,334.76845000000003,345.3659,356.05655,334.37399999999997,327.85630000000003,334.51599999999996,335.73620000000005,330.52355,335.00315,Dominican Republic
ESP,484.64525000000003,485.58515,493.68,482.26385000000005,472.53550000000007,480.96015,474.73240000000004,488.74615,489.5277,Spain
EST,512.3983499999999,517.5054500000001,529.2583,517.3720999999998,511.63579999999996,515.1470999999999,508.0350000000001,513.2328500000001,511.77414999999996,Estonia
FIN,477.2924,485.1455000000001,501.5059,477.0664,476.1988000000001,473.5601,472.6436000000001,479.8378999999999,478.2455,Finland
FRA,470.75435,474.42815,486.12815,466.63475,466.6595,468.00955000000005,460.48805000000004,479.18530000000004,470.1453,France
GBR,480.7353,492.51795000000004,492.22645,480.9214500000001,464.8392,479.5558,474.80674999999997,484.50335,482.74884999999995,United Kingdom
GEO,380.816,370.06049999999993,377.16370000000006,385.2155,377.6137,385.1197,380.8281,374.7967,374.0167,Georgia
GRC,429.2401000000001,444.5265,445.1612,422.7568,427.9644,420.7469,426.3059,434.4015,434.5935,Greece
GTM,342.80684999999994,372.49424999999997,368.90954999999997,,,,,,,Guatemala
HKG,552.5132,513.0609000000001,532.2561,558.2151,549.2405,559.6191000000001,552.2259,552.7111,550.6807,Hong Kong-China
HRV,459.42930000000007,477.102,482.2246,458.744,451.0243,458.9419,450.1842,464.5084,463.38860000000005,Croatia
HUN,481.6620000000001,489.12154999999996,495.9507500000001,488.27355,474.45709999999997,487.95915,474.77465,484.95735,476.19939999999997,Hungary
IDN,371.6007,368.5763,391.3094,370.8305,377.7207,372.712,370.3577,370.3146,363.7821,Indonesia
IRL,492.8166,522.1922999999999,507.5697,495.316,472.9587,495.2361,486.9677,497.2652,492.4675,Ireland
ISL,458.7134,438.56925,448.0067,457.7099999999999,460.10810000000004,460.45025,454.84695,457.02615000000003,458.10135,Iceland
ISR,457.92500000000007,481.8419,465.3574,459.3203,447.472,455.4442,458.0719,454.8474,464.9444,Israel
ITA,472.24235,485.501,482.40880000000004,470.83714999999995,474.45945,471.3194,464.65534999999994,472.29134999999997,476.60350000000005,Italy
JAM,361.6625,393.7795,385.7743,357.20660000000004,354.1782,358.6848,352.2069,365.1438,358.7389,Jamaica
JOR,355.72650000000004,338.62790000000007,368.6233000000001,349.468,343.6699,355.3919,353.7692,355.3334,350.3011,Jordan
JPN,540.00875,522.30835,552.6575499999999,539.018,541.7180500000001,539.59185,540.72125,549.95595,537.1064,Japan
KAZ,436.7227,395.4021,432.8969,441.3408,434.9714,440.4919999999999,438.139,430.76270000000005,433.389,Kazakhstan
KHM,326.61839999999995,323.5021,340.7589,,,,,,,Cambodia
KOR,535.6495500000001,527.2896000000001,538.7936,534.4027,543.1232,530.8325,534.2209,539.97245,538.6216,South Korea
KSV,344.0370000000001,332.5852,345.11710000000005,346.28710000000007,350.4252,345.74530000000004,342.9682,341.58610000000004,344.3489,Kosovo
LTU,468.2619,468.31410000000005,478.2424,471.9467,465.8019000000001,470.751,463.24869999999993,470.181,463.9085,Lithuania
LVA,480.0705,476.2263,491.48730000000006,481.491,483.48939999999993,480.8672,478.54410000000007,482.7297999999999,477.689,Latvia
