ESCS,PVxSCIE,REGION
-1.1778,510.235,Europe
0.1712,447.7493,Europe
-1.3198,381.4825,Americas
-2.4859,400.1488000000001,Americas
-1.0353,276.9283,Asia
0.9785,354.6587,Europe
0.1031,301.79190000000006,Asia
1.2003,357.79470000000003,Asia
1.1572,623.7941,Europe
-0.7946,333.08629999999994,Otro
-0.7108213246213246,412.4906,Americas
-0.1247,617.303,Europe
-1.0316,377.694,Europe
0.5613,372.266,Europe
-1.5853,365.1433,Asia
1.0544,569.4654,Europe
-0.2572,578.9933,Otro
-2.2074,273.3713,Asia
0.8196,477.5753999999999,Europe
0.0318,406.8729,Americas
0.9181,515.4327,Asia
0.3942,444.5354,Americas
-0.0883,563.2884999999999,Asia
-0.1464,707.9201,Asia
0.3624,466.8116,Europe
0.4329,360.1789,Oceania
-0.2697,436.2601,Europe
-0.2115,484.0094,Asia
1.7991,269.7263,Asia
-0.8107,488.7568,Asia
0.2934,557.7038,Europe
0.1667,370.33990000000006,Asia
-1.522,314.68230000000005,Asia
0.0115,338.8025,Americas
0.7551,528.0064,Oceania
1.3269,607.3335999999998,Europe
-3.4529,352.50370000000004,Asia
0.4965,563.3321,Asia
-0.3821,408.2233,Otro
0.049173270334120826,456.50819999999993,Europe
-1.1936,295.3618,Europe
1.1878,572.0129000000001,Asia
0.8821,518.4572000000001,Asia
1.053,438.70880000000005,Asia
-0.7217,330.3333999999999,Africa
-0.3051,566.4910000000001,Europe
0.2584,505.8645,Asia
0.7581,415.14339999999993,Asia
0.4714,320.1952,Asia
0.5196,410.6937,Asia
1.1682,444.84670000000006,Americas
-0.3075,566.6949,Americas
0.8124,531.2447,Asia
1.691,464.65240000000006,Americas
1.1541,542.2639999999999,Europe
-0.5424,415.4061,Europe
0.0237,524.4842999999998,Europe
0.7163,613.5393999999999,Asia
0.7541,552.5814,Europe
-3.1627,350.9881,Asia
0.8287,587.5066,Americas
-0.0409,372.1749,Europe
1.0399,390.2794,Europe
1.1997,643.6982,Oceania
-2.3704,317.18600000000004,Asia
-2.2636,376.8065,Asia
0.2697,306.4159,Asia
0.678,579.3149999999999,Europe
-1.6922,286.6976,Asia
-2.0276,324.6449,Africa
-2.0657,374.2382,Asia
-1.8608,407.9661,Americas
-0.4659,337.0504,Asia
0.7693,358.2219,Europe
-1.2392,402.623,Europe
0.6716,489.3699,Americas
0.1556,482.3618,Europe
-1.087,476.9072,Europe
1.255,610.7083,Europe
0.1777,380.17439999999993,Asia
-0.771,418.4171,Europe
-0.4219,565.0658999999999,Europe
1.1057,643.3354,Europe
-2.9349,373.5497,Europe
-0.5423,564.8494,Oceania
-0.6847,403.6476,Asia
-0.698,424.7371,Americas
-2.6858,398.9834000000001,Otro
-1.1483,364.5744,Americas
0.07,564.1155,Europe
-0.9652,354.4002,Europe
-1.5396,488.2054999999999,Europe
-0.3388,311.80800000000005,Europe
0.2589,493.1641,Asia
-1.2546,317.164,Europe
-1.2629,295.783,Africa
0.8847,298.2859,Asia
-0.7141,324.6852,Americas
-0.8685,344.0403,Americas
0.129,229.5638,Otro
-0.1831,575.2004000000001,Americas
0.6308,534.0373,Americas
0.7766,465.7954,Asia
0.5,616.1575999999999,Asia
1.5494,568.8992,Asia
1.6374,374.3779,Asia
0.6443,519.0032,Europe
1.4782,477.5548,Asia
0.7818,517.9264999999999,Europe
-0.2311,473.1405,Europe
-1.1503,510.0477000000001,Americas
0.8915,496.0818,Oceania
1.0248,616.9277999999999,Oceania
1.4755,575.2911999999999,Europe
0.9663,572.8802999999999,Americas
-1.9766,375.461,Americas
-1.7637,302.42690000000005,Asia
0.1741,367.9976,Europe
1.1812,542.9934,Europe
-1.0422,534.3688,Asia
-0.3155,401.9319,Americas
1.027,523.9567,Europe
-1.7368,351.8897,Otro
-0.1068,599.7978999999998,Asia
-1.2404,390.7726,Europe
0.3705,417.2416,Asia
0.9997,488.5586000000001,Americas
-0.9651558788041292,324.3824,Americas
-0.2628,433.5174,Americas
-0.5026,508.837,Europe
-0.0092,561.4654999999999,Europe
-0.1298,403.1603,Europe
0.1643,471.2247,Europe
-0.9947,406.6267,Americas
-0.2476,680.4587,Europe
0.8783,553.8743000000001,Europe
-0.8886,366.0955,Europe
0.9426,393.1336,Europe
-0.6635,298.9572,Otro
1.0876,425.3125,Europe
-1.2121,478.0032,Asia
-1.1245,406.8143,Americas
-0.1498,408.9803999999999,Europe
-1.0755,493.2279,Asia
-0.365,401.4812,Asia
-1.7356,475.7711000000001,Americas
-1.4267,399.7721,Asia
0.3389,374.6837,Americas
1.1692,562.1167,Asia
-0.1287,554.513,Americas
0.8755,340.06679999999994,Europe
-0.0789,447.8911,Americas
0.7754,414.4295,Asia
-1.2129,343.336,Otro
0.222,651.6256000000001,Asia
