CNT,Promedio_Bullying,Bullying_Escalado,REGION
PHL,0.5685405865522175,100.0,Asia
MAR,0.17945139060568605,74.18540243950667,Africa
BRN,0.1632051529497451,73.10752597485696,Otro
JAM,0.10126421800947867,68.99797905178227,Americas
AUS,0.05835539154754508,66.15114059302414,Oceania
LVA,0.0543002701138337,65.88209861252005,Europe
NZL,0.002611718041704446,62.45275854312893,Oceania
MDA,-0.025598862876254177,60.58109312313894,Europe
QAT,-0.02836887328153018,60.39731340220214,Asia
ARG,-0.034506895286997984,59.990078841234315,Americas
MLT,-0.038687895460797796,59.712685282093126,Europe
KSV,-0.06482159262048193,57.97881324973332,Europe
SLV,-0.06495302024842606,57.97009352335939,Americas
GBR,-0.06765678846498298,57.790708721276985,Europe
PSE,-0.0677414661288079,57.785090678327514,Asia
DNK,-0.07390787581126118,57.37597270228498,Europe
PRY,-0.08245236442516268,56.809078177260965,Americas
ROU,-0.08542491213271473,56.61186087182243,Europe
KHM,-0.0888100412371134,56.38727035008413,Asia
JOR,-0.10058771554795495,55.60586617412569,Asia
DOM,-0.10642047742773626,55.2188844687446,Americas
EST,-0.1310142242752469,53.58718231924472,Europe
ARE,-0.1406987863316763,52.94464823029843,Asia
BRA,-0.14767475889246084,52.48181881707966,Americas
URY,-0.16592605459057072,51.2709143295929,Americas
MYS,-0.18262867455963036,50.16275862339749,Asia
FRA,-0.19079373065015479,49.621038012207066,Europe
TUR,-0.19897588976596037,49.07818267993136,Otro
CZE,-0.20108548072230353,48.938219293328515,Europe
DEU,-0.20534607102380054,48.65554523003121,Europe
SGP,-0.20661641768292682,48.57126253056461,Asia
CAN,-0.20771582089552237,48.4983212826823,Americas
ALB,-0.21108735416666666,48.274632793094,Europe
COL,-0.21488019856591284,48.022991902531814,Americas
CHL,-0.23252280732652342,46.85247149277213,Americas
MAC,-0.23891337899543377,46.428481216164506,Asia
CRI,-0.24649273964832671,45.92561928358297,Americas
BEL,-0.2568959468181231,45.23540580753559,Europe
AUT,-0.2714510323988585,44.269730891245054,Europe
SWE,-0.2714735460627895,44.268237194735235,Europe
GRC,-0.2718435034616004,44.243691919604686,Europe
CHE,-0.27527352406902816,44.01612301631108,Europe
MNG,-0.28900122878876533,43.10534169300237,Asia
NOR,-0.2934679155759162,42.8089939068384,Europe
USA,-0.2941522933529556,42.7635880279868,Americas
SVK,-0.2941779411764706,42.761886391834366,Europe
IRL,-0.29737407071622846,42.54983527687257,Europe
IDN,-0.3086700700472057,41.80038841530293,Asia
BGR,-0.32039698761781554,41.022351757220115,Europe
PER,-0.3225164110881746,40.88173602047501,Americas
POL,-0.3697844490216272,37.745680356534415,Europe
PAN,-0.3737457799145299,37.482861023924926,Americas
FIN,-0.3863147164762787,36.64895958825128,Europe
LTU,-0.41048246311010217,35.04552094283113,Europe
MNE,-0.4151233351780114,34.73761662163462,Europe
SVN,-0.4167110168159673,34.632279945713016,Europe
ESP,-0.42284096731672693,34.22558089857577,Europe
MEX,-0.4273191829484902,33.92846821714587,Americas
VNM,-0.42796093594424156,33.885890331429295,Asia
ITA,-0.43391454231101717,33.490891051076574,Europe
HUN,-0.4419307782231129,32.95904409624834,Europe
MKD,-0.4520408636748518,32.2882781383195,Europe
ISL,-0.4526197756410256,32.24986951740322,Europe
THA,-0.4622422285987566,31.61145613240977,Asia
KAZ,-0.48346769916035226,30.20322638383822,Asia
NLD,-0.49047456327226246,29.7383474329591,Europe
HRV,-0.49071184298070525,29.72260482111962,Europe
GTM,-0.4984611386138614,29.20846834487908,Americas
HKG,-0.5000189213243147,29.105115349792133,Asia
UZB,-0.5025034124194493,28.940278755942472,Asia
SAU,-0.5424163899138991,26.29220355315057,Asia
GEO,-0.5505406571936057,25.75318912539368,Otro
PRT,-0.5620937246049661,24.986686768297893,Europe
SRB,-0.578416204829039,23.903751897416885,Europe
JPN,-0.7289406495547408,13.917023907815523,Asia
TAP,-0.8561421143548109,5.477687485402226,Asia
KOR,-0.9387042776559071,0.0,Asia
