CNT,Promedio_Proactividad,Promedio_Rendimiento,Media_Global_Proactividad,Media_Global_Rendimiento,Cuadrante,REGION
ALB,-0.016996553023691737,368.25404764235606,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Europe
ARE,0.14531358352461726,433.8298561219512,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Asia
ARG,4.6418688799303566e-05,388.5489809677153,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
AUS,0.07851297744896478,487.16593694277,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Oceania
AUT,-0.014899570974068905,490.87702037067146,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
BEL,-0.22472339253638984,494.0155359160029,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
BGR,-0.08149128546301981,418.3383755690192,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Europe
BRA,0.00854428447255234,381.13654866641974,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
BRN,-0.07234438092505552,440.6654134863702,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Otro
CAN,-0.04533344792957542,484.5220272092922,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Americas
CHE,0.04404869187071581,506.45947006882415,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
CHL,0.05420234859560597,428.55602217940816,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
COL,0.14109899947421098,390.80081665812406,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
CRI,0.03309360761374966,384.3459398331425,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
CZE,-0.14591664377103136,499.3702698936171,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
DEU,-0.023407937295214176,477.7435169228254,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
DNK,0.2740791105089368,478.79859729032256,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
DOM,-0.011359777646012176,339.82877939720447,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Americas
ESP,-0.007398441315113443,481.8654807954545,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
EST,-0.11594917796892991,512.7133570556946,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
FIN,0.10837482834420069,475.32395313995505,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
FRA,-0.18452455629252096,468.2440119350074,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Europe
GBR,0.054359164567942035,481.82222659574467,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Alto Rendimiento",Europe
GEO,0.3043265299455726,390.4614478657147,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Otro
GRC,-0.007317626312477999,433.54078606903016,-0.01915884749119262,439.4284177459322,"Alta Proactividad, Bajo Rendimiento",Europe
GTM,-0.0661400915449037,345.55712924855493,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Bajo Rendimiento",Americas
HKG,-0.1901288426844621,546.0300464872186,-0.01915884749119262,439.4284177459322,"Baja Proactividad, Alto Rendimiento",Asia
